,Unnamed: 0,comment,label,label_id,Cleaned
1252,,غذا سرد شده بود. حیف اون پیتزا که سرد شد,HAPPY,0.0,غذا سرد حیف پیتزا سرد
1949,,مزه خورشت سبزی خوب نبود، غذا مزه‌ی سوختگی می‌داد. چلوجوجه خوب بود.,HAPPY,0.0,مزه خورشت سبزی غذا مزه سوختگی چلوجوجه
6977,,غذاشون خوب بود ولی پول برنج ایرانی گرفتن برنج هندی فرستادن,SAD,1.0,غذاشون پول برنج ایرانی برنج هندی فرستادن
5275,,بخش پیتزای پنجره‌ای خوش طعم اما بسیار نازک بود. کیفیت گوشت بخش پلاس آروستو بسیار پایین و اصلا طعم خوبی نداشت. چیپس و پنیر همانطور که در منو نوشته شده بود، از خمیر دست ساز تهیه شده بود. اما اصلا خوش طعم نبود و حجم آن در مقایسه با قیمتش کم بود. در کل از این دو سفارش راضی نبودم.,SAD,1.0,پیتزای پنجره طعم نازک کیفیت گوشت پلاس آروستو پایین طعم خوبی چیپس پنیر همانطور منو نوشته خمیر دست ساز تهیه طعم حجم مقایسه قیمتش سفارش راضی نبودم
3944,,کیک وانیلی سفارش داده بودم اصلا تازه و خوشمزه نبود,SAD,1.0,کیک وانیلی سفارش خوشمزه
4789,,من از شعبه‌ی دیگه پپرونی سفارش داده بودم قبلا، خیلی خوب بود. پیتزایی ک من تحویل گرفتم سوخته بود باز کردم جعبه رو موندم. و مقدار موادش مثل اون یکی شعبه نبود. وقتی پیتزارو‌ یادتون میره و دیر از فر درمیارید دیگه ب مشتری نفرستید,SAD,1.0,شعبه پپرونی سفارش پیتزایی تحویل سوخته جعبه موندم موادش شعبه پیتزارو یادتون میره درمیارید ب مشتری نفرستید
4661,,آجیل بسیار مونده و بی کیفیت واقعا ارزش خرید نداشت.,SAD,1.0,آجیل مونده کیفیت ارزش خرید
1733,,کیفیت عالی اما یه ذره گرون,HAPPY,0.0,کیفیت عالی ذره گرون
6157,,سلام، وقتی غذا را آوردند کاملا سرد بود.,SAD,1.0,سلام غذا آوردند سرد
4375,,خیلی بدمزه و چربی‌های مرغ بهش بود,SAD,1.0,بدمزه چربی مرغ
4325,,مرغ داخل پیتزا به نسبت حجم خیلی کم بود,SAD,1.0,مرغ پیتزا نسبت حجم
4780,,غذا سرد رسید با اینکه فاصله از رستوران در حدود ۸ یا ۹ دقیقه است. نوشیدنی اسپرایت خواسته بودم ولی کوکا ارسال شد,SAD,1.0,غذا سرد فاصله رستوران 8 9 دقیقه نوشیدنی اسپرایت کوکا ارسال
352,,هم کیک تازه بود و هم سالم بدستمون رسید,HAPPY,0.0,کیک سالم بدستمون
2468,,سلام، چندباری هست که سفارش میدم، موقع ثبت سفارش عدم موجودی چک نمیکنید و بدون اطلاع جنس سفارش داده را نمیارید و موقع تحویل پیک اطلاع میده، و اینکه من یه بستنی قیفی دیگه سفارش دادم و واسم یه مدل دیگه اوردن,HAPPY,0.0,سلام چندباری سفارش میدم موقع ثبت سفارش موجودی چک نمیکنید اطلاع جنس سفارش نمیارید موقع تحویل پیک اطلاع میده بستنی قیفی سفارش واسم مدل اوردن
1033,,ولی خدایش واسه یه نفرم کمه چه برسه دو نفر چون خیلی خوشمزس,HAPPY,0.0,خدایش واسه نفرم کمه برسه نفر خوشمزس
335,,نمیتونم نظر دقیق بدم خیابانو خیلی شلوغ بود بالای یک ساعت طول کشید. غذا سرد بود.,HAPPY,0.0,نمیتونم نظر دقیق بدم خیابانو شلوغ ساعت طول کشید غذا سرد
3248,,پیتزا در سریعترین زمان، گرم و با کیفیت به دستم رسید، باتشکراز رستوران شیلا و گروه اسنپ فود,HAPPY,0.0,پیتزا سریعترین گرم کیفیت دستم باتشکراز رستوران شیلا گروه اسنپ فود
6253,,با سلام من در توضیحات نوشته بودم قهوه و کاکائو نفرستید رولت ساده و میوه‌ای ارسال کنید. متاسفانه کل سفارش کاکائو بود!!,SAD,1.0,سلام توضیحات نوشته قهوه کاکایو نفرستید رولت ساده میوه ارسال سفارش کاکایو
5356,,روش سالاد و سس و … نبود,SAD,1.0,سالاد سس
6071,,ساندویچ‌ها کاملا خمیر بودند و کیفیت پنیر و سوسیس استفاده شده بسیار پایین بود و با منو متفاوت بود اصلا سیب زمینی نداشت کاملا پشیمان شدیم از سفارشش و حتی معده درد هم شدیم ….. متاسفم برای برند به اصطلاح معروف هایدا ….,SAD,1.0,ساندویچ خمیر کیفیت پنیر سوسیس پایین منو متفاوت سیب زمینی پشیمان سفارشش معده درد متاسفم برند اصطلاح معروف هایدا
6927,,غذا سرد و در جعبه له شده تحویل شد,SAD,1.0,غذا سرد جعبه له تحویل
3651,,واقعا توقع نداشتم سیب زمینى به این بدى از همچین رستورانى با کلى شعبه تحویل بگیرم,SAD,1.0,توقع سیب زمینی بدی رستورانی شعبه تحویل
4739,,هم اشتباه ارسال و هم نون خامه ای‌های مونده,SAD,1.0,اشتباه ارسال نون خامه مونده
1863,,زمان ارسال طولانی بود اما کیفیت غذا بسیار عالی بود,HAPPY,0.0,ارسال طولانی کیفیت غذا عالی
504,,خیلی چرب بود، روغن از سیب زمینیاش میچکید.,HAPPY,0.0,چرب روغن سیب زمینیاش میچکید
4770,,غذاها خیلى بی نمک بود,SAD,1.0,غذاها نمک
2604,,کمی سرد شده بود پنیر پیتزا,HAPPY,0.0,سرد پنیر پیتزا
1149,,یک لیتر اب پرتقال سفارش داده بودم خیلی سریع به موقع و برخورد بسیار خوب پیک، اما به نظرم یه مقدار سن ایچ با اب پرتقال مخلوط شده بود,HAPPY,0.0,لیتر اب پرتقال سفارش موقع برخورد پیک نظرم سن ایچ اب پرتقال مخلوط
5601,,شیرینی خوشمزه بود ولی تازه نبود. کیکهاش خشک بود معلوم بود دست کم برای سه یا چهارروز پیش بوده,SAD,1.0,شیرینی خوشمزه کیکهاش خشک معلوم دست سه چهارروز
5119,,توی عمرم فکر نمیکردم یه همچین کیک مونده‌ای که بوی یخچال گرفته و مزه موندگی میده حتی از چیپ‌ترین قنادی کشور دستم برسه که از اینجا رسید و آبرومو جلوی میهمانام برد. ممنون از ناتلی بی کیفیت.,SAD,1.0,عمرم نمیکردم کیک مونده بوی یخچال مزه موندگی میده چیپ قنادی کشور دستم برسه آبرومو میهمانام برد ممنون ناتلی کیفیت
5582,,نصف پیتزا چسبیده بود به درش و کلا انگار پیتزا رو یه دست کتکش زده بودن بعد تحویل دادن,SAD,1.0,نصف پیتزا چسبیده درش پیتزا دست کتکش زده تحویل
4902,,خیلییییییییییی شور بود ….,SAD,1.0,شور
3017,,پیتزا مخلوط عالی و خوشمزه بود. انشالله همیشه کیفیت حفظ بشه سپاس,HAPPY,0.0,پیتزا مخلوط عالی خوشمزه انشالله کیفیت حفظ بشه سپاس
5530,,به شدت مونده بود هم چیکن فرایز هم سیب زمینی اصلا قابل خوردن نبود همه ش رو دور ریختم، متاسفانه کیفیتتون خیلی افت کرده,SAD,1.0,شدت مونده چیکن فرایز سیب زمینی خوردن دور ریختم کیفیتتون افت
6641,,برخورد پیک بسیار نامناسب بود و از صریح نبودن آدرس شکایت میکرد درحالیکه من از اسنپ فود زیاد غذا سفارش میدم و مشکلی نبوده. ظاهرا آدرس داده شده رو درست نخونده بوده و همینطوری عین طلبکارا اعتراض میکرد,SAD,1.0,برخورد پیک نامناسب صریح نبودن آدرس شکایت میکرد اسنپ فود غذا سفارش میدم مشکلی نبوده آدرس نخونده همینطوری عین طلبکارا اعتراض میکرد
4671,,کیک داخل جعبه برگشته بود، خواهشا پیک‌های با دقت بفرستید,SAD,1.0,کیک جعبه برگشته خواهشا پیک دقت بفرستید
3808,,پیتزا رست بیف سرده سرد انگار از قبل اماده بوده و ارسال شده,SAD,1.0,پیتزا رست بیف سرده سرد اماده ارسال
965,,سلام خیلی خوشمزه بود بخصوص طعم کنجد رو خیلی دوست داشتم اما به جای پسته درسته از پودر استفاده کرده بودن که این خودش یک امتیاز منفیه برای همین ۴ ستاره دادم,HAPPY,0.0,سلام خوشمزه طعم کنجد دوست پسته پودر امتیاز منفیه 4 ستاره
6503,,یک ساعت و ربع زمان رسیدن غذا بعد دوبار پیگیری و التماس!! غذا سرد! اگه نظراتمون سانسور نشه! همچین رستورانهایی بالا نمیان! بیشتر وقتها یه غذر خواهی چیزی رو درست نمیکنه احترام به مشتری چیزه خوبیه روش کار کنین …,SAD,1.0,ساعت ربع رسیدن غذا دوبار پیگیری التماس غذا سرد نظراتمون سانسور نشه رستورانهایی نمیان وقتها غذر نمیکنه احترام مشتری چیزه خوبیه کار کنین
4832,,این رستوران هیچ وقت زیر یک ساعت سفارش رو تحویل نمیدن. مفهوم فست فود رو متحول کردند واقعا همیشه با تاخیر زیاد ارسال میکنند. زمان اعلامی هم یک ساعت و نیم بود که بعد از یک ساعت سفارش را تحویل دادند. تو این فاصله یک شامی سر هم کردیم و خوردیم تا سفارشمون برسه,SAD,1.0,رستوران وقت ساعت سفارش تحویل نمیدن مفهوم فست فود متحول تاخیر ارسال اعلامی ساعت نیم ساعت سفارش تحویل فاصله شامی خوردیم سفارشمون برسه
6276,,متاسفانه حجم غذا فوق العاده کم بود یعنی واقعا انگار ١ پرس غذارو توی ٤ پرس ریخته بودن و تازه قاطی برنجش ته دیگم داشت! من به هیچ عنوان دیگه ازینجا خرید نمیکنم,SAD,1.0,حجم غذا العاده ١ پرس غذارو ٤ پرس ریخته قاطی برنجش ته دیگم ازینجا خرید نمیکنم
3327,,عالی بود. خیلی خوشمزه بود. ‌ هم غذا عالی بود هم سرعت ارسال. مطمئنا باز هم سفارش میدم,HAPPY,0.0,عالی خوشمزه غذا عالی سرعت ارسال سفارش میدم
5635,,هات داگ خیلى شور بود …اغلب هات داگ هاى شیلا شور هستند وگرنه مشکل دیگه اى وجود نداره,SAD,1.0,هات داگ شور …اغلب هات داگ شیلا شور مشکل نداره
2815,,اصلا مگه میشه برگرلند خوب نباشه,HAPPY,0.0,مگه میشه برگرلند نباشه
4807,,اصلا اصلا کیفیت پیتزا خوب نبود پیتزا سبزیجات بیشتر نخود داشتغذا سرد بود … قارچ سوخاری فوق العاده بی مزه بوددددد ….. آخرین باری بود که از شما غذا میگیرررم اصلا راضی نبوددددم,SAD,1.0,کیفیت پیتزا پیتزا سبزیجات نخود داشتغذا سرد قارچ سوخاری العاده مزه آخرین باری غذا میگیرم راضی نبودم
5824,,با تشکر از ارایه خدمات اسنپ فود وتشکر از نظر خواهی اجیل شب یلدای قنادی نخلک بدون عکس بود و بنظرم میوه خشک اجیل محسوب نمیشه کاش بیشتر توضیح میداند وشیرینی باسلوق وسط ظرف اصلا ربطی به اجیل نداره کاش به جای نام اجیل شب یلدا نوشته بودند ظرف مخلوط مخصوص شب یلدا موفق باشید,SAD,1.0,تشکر ارایه اسنپ فود وتشکر نظر اجیل شب یلدای قنادی نخلک عکس بنظرم میوه خشک اجیل محسوب نمیشه توضیح میداند وشیرینی باسلوق وسط ظرف ربطی اجیل نداره اجیل شب یلدا نوشته ظرف مخلوط مخصوص شب یلدا موفق
